TractID,FIPSstate,FIPScounty,FIPStract,pop0-4,pop5-18,pop19-29,pop30-64,pop65+,workers
0,53,33,100,406,1217,726,2567,615,1077
1,53,33,200,481,1668,896,3463,837,658
2,53,33,300,179,519,335,1178,276,285
3,53,33,401,284,1049,582,2291,530,691
4,53,33,402,318,1015,598,2116,537,701
5,53,33,500,216,742,420,1549,370,335
6,53,33,600,455,1649,941,3479,838,2136
7,53,33,700,258,901,510,2004,517,543
8,53,33,800,179,568,331,1231,291,223
9,53,33,900,147,440,243,946,269,170
10,53,33,1000,109,379,204,793,223,606
11,53,33,1100,167,544,317,1055,287,205
12,53,33,1200,387,1358,749,2915,697,2990
13,53,33,1300,262,951,553,1928,489,901
14,53,33,1400,294,1049,555,2206,571,438
15,53,33,1500,152,531,295,1117,258,178
16,53,33,1600,279,898,508,1812,450,611
17,53,33,1700,507,1537,965,3438,1002,1261
18,53,33,1800,224,878,505,1928,457,371
19,53,33,1900,242,775,468,1558,381,2004
20,53,33,2000,206,679,413,1479,340,388
21,53,33,2100,226,837,472,1687,415,506
22,53,33,2200,360,1234,654,2545,604,375
23,53,33,2400,173,582,408,1313,353,335
24,53,33,2500,167,510,320,1236,310,378
25,53,33,2600,299,1021,579,2076,550,702
26,53,33,2700,320,1049,667,2290,621,963
27,53,33,2800,279,918,595,1968,476,454
28,53,33,2900,269,902,462,1900,455,606
29,53,33,3000,335,1176,658,2518,564,723
30,53,33,3100,409,1323,747,2912,648,405
31,53,33,3200,454,1595,920,3391,853,1410
32,53,33,3300,343,1303,715,2751,720,546
33,53,33,3400,189,710,402,1516,382,276
34,53,33,3500,222,832,459,1700,426,826
35,53,33,3600,321,1087,620,2260,598,1383
36,53,33,3800,137,434,246,926,237,336
37,53,33,3900,161,601,322,1270,317,417
38,53,33,4000,150,521,319,1095,301,795
39,53,33,4100,505,1702,1002,3458,844,2853
40,53,33,4200,480,1589,850,3445,842,1285
41,53,33,4300,385,1366,761,2945,677,5968
42,53,33,4400,350,1266,714,2694,718,788
43,53,33,4500,162,545,290,1156,263,305
44,53,33,4600,216,659,408,1395,345,442
45,53,33,4700,329,1041,631,2319,596,4669
46,53,33,4800,251,1000,523,2074,480,1018
47,53,33,4900,396,1182,779,2596,573,2750
48,53,33,5000,211,723,436,1525,358,1324
49,53,33,5100,211,756,435,1618,434,750
50,53,33,5200,328,1173,657,2516,611,1707
51,53,33,5301,567,1853,1119,3977,995,3874
52,53,33,5302,150,547,346,1190,297,11341
53,53,33,5400,266,949,555,1982,490,1892
54,53,33,5600,399,1365,816,2904,745,795
55,53,33,5700,385,1329,725,2873,679,1035
56,53,33,5801,317,1009,611,2142,465,1591
57,53,33,5802,322,1064,641,2224,571,1906
58,53,33,5900,430,1487,875,3115,809,1832
